,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,ageCode,workclassCode,educationCode,marital-statusCode,occupationCode,relationshipCode,raceCode,sexCode,native-countryCode,incomeCode
2051,young,Private,183224,Some-college,10,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,35,United-States,<=50K,4,4,15,4,1,3,1,0,39,0
2052,old,Local-gov,100776,Assoc-voc,11,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,2,2,8,0,1,1,4,0,39,0
2053,young,Private,174063,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K,4,4,15,4,8,3,4,0,39,0
2054,middle-aged,Private,306495,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K,1,4,11,2,5,0,4,1,39,0
2055,old,Private,249741,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K,2,4,15,2,12,0,4,1,39,0
2056,young,Private,93021,HS-grad,9,Never-married,Adm-clerical,Unmarried,Other,Female,0,0,40,United-States,<=50K,4,4,11,4,1,4,3,0,39,0
2057,adult,Private,49626,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,0,4,11,2,4,0,4,1,39,0
2058,young,Private,63062,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,0,0,60,United-States,<=50K,4,4,15,4,5,3,4,1,39,0
2059,old,Private,320835,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K,2,4,9,2,12,0,4,1,39,1
2060,young,Local-gov,123727,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,21,United-States,<=50K,4,2,15,4,10,1,4,0,39,0
2061,middle-aged,Private,149670,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,4064,0,15,United-States,<=50K,1,4,15,2,1,5,4,0,39,0
2062,middle-aged,Private,174209,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,<=50K,1,4,11,0,4,1,4,1,39,0
2063,old,Federal-gov,175083,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,20,United-States,<=50K,2,1,11,4,1,4,4,0,39,0
2064,teenager,Private,129059,Some-college,10,Never-married,Sales,Own-child,Black,Male,0,0,30,United-States,<=50K,3,4,15,4,12,3,2,1,39,0
2065,young,Private,121313,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K,4,4,11,2,1,0,4,1,39,0
2066,young,State-gov,166851,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,13,United-States,<=50K,4,7,12,4,10,1,4,1,39,0
2067,old,Self-emp-inc,105582,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,50,United-States,>50K,2,5,15,2,4,0,4,1,39,1
2068,young,?,148509,Some-college,10,Never-married,?,Not-in-family,White,Female,0,0,30,United-States,<=50K,4,0,15,4,0,1,4,0,39,0
2069,adult,Private,230246,9th,5,Separated,Craft-repair,Not-in-family,White,Male,0,0,40,?,<=50K,0,4,6,5,3,1,4,1,0,0
2070,old,Private,117881,11th,7,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K,2,4,1,0,7,1,4,0,39,0
2071,adult,Private,203408,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,50,United-States,>50K,0,4,9,2,10,0,4,1,39,1
2072,teenager,Private,446219,10th,6,Never-married,Sales,Unmarried,Black,Female,0,0,40,United-States,<=50K,3,4,0,4,12,4,2,0,39,0
2073,adult,Self-emp-inc,110331,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,65,United-States,>50K,0,5,11,2,12,0,4,1,39,1
2074,old,?,45537,Masters,14,Married-civ-spouse,?,Husband,Black,Male,0,0,40,United-States,>50K,2,0,12,2,0,0,2,1,39,1
2075,old,Private,147629,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,>50K,2,4,11,2,14,0,4,1,39,1
2076,middle-aged,Private,153799,1st-4th,2,Married-spouse-absent,Machine-op-inspct,Unmarried,White,Female,0,0,40,Dominican-Republic,<=50K,1,4,3,3,7,4,4,0,6,0
2077,middle-aged,Private,168071,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,50,United-States,>50K,1,4,9,2,4,0,4,1,39,1
2078,old,Private,348430,1st-4th,2,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,Portugal,<=50K,2,4,3,0,3,4,4,1,32,0
2079,old,Private,103407,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,2,4,11,0,1,1,4,0,39,0
2080,young,?,152046,11th,7,Never-married,?,Not-in-family,White,Female,0,0,35,Germany,<=50K,4,0,1,4,0,1,4,0,11,0
2081,adult,Private,153205,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,45,?,<=50K,0,4,9,2,10,0,1,1,0,0
2082,middle-aged,Private,238162,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K,1,4,9,2,3,0,4,1,39,1
2083,old,Private,221336,HS-grad,9,Divorced,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K,2,4,11,0,1,2,1,0,30,0
2084,adult,Private,180656,Some-college,10,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,0,40,?,<=50K,0,4,15,3,3,1,4,1,0,0
2085,adult,Private,315776,Masters,14,Never-married,Exec-managerial,Not-in-family,Black,Male,8614,0,52,United-States,>50K,0,4,12,4,4,1,2,1,39,1
2086,old,?,150516,HS-grad,9,Widowed,?,Unmarried,White,Male,0,0,3,United-States,<=50K,2,0,11,6,0,4,4,1,39,0
2087,adult,Private,325802,Assoc-acdm,12,Divorced,Handlers-cleaners,Unmarried,White,Female,0,0,24,United-States,<=50K,0,4,7,0,6,4,4,0,39,0
2088,young,Private,133985,10th,6,Never-married,Craft-repair,Own-child,Black,Female,0,0,40,United-States,<=50K,4,4,0,4,3,3,2,0,39,0
2089,adult,Private,195891,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,55,United-States,<=50K,0,4,9,4,1,1,4,1,39,0
2090,old,Federal-gov,162137,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K,2,1,11,2,14,0,0,1,39,0
2091,middle-aged,State-gov,37672,Assoc-voc,11,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K,1,7,8,0,13,4,4,0,39,0
2092,young,Private,161708,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,>50K,4,4,11,0,4,1,4,0,39,1
2093,adult,Private,209276,HS-grad,9,Married-civ-spouse,Other-service,Husband,Other,Male,0,0,40,United-States,<=50K,0,4,11,2,8,0,3,1,39,0
2094,young,?,34443,Some-college,10,Never-married,?,Own-child,White,Male,0,0,50,United-States,<=50K,4,0,15,4,0,3,4,1,39,0
2095,middle-aged,Private,192835,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,55,United-States,>50K,1,4,9,2,4,0,4,1,39,1
2096,young,Private,203240,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K,4,4,15,4,8,1,4,0,39,0
2097,middle-aged,State-gov,102308,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,1,7,15,2,4,0,4,1,39,0
2098,teenager,Private,40829,11th,7,Never-married,Sales,Other-relative,Amer-Indian-Eskimo,Female,0,0,25,United-States,<=50K,3,4,1,4,12,2,0,0,39,0
2099,teenager,Private,57067,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,45,United-States,<=50K,3,4,11,4,7,2,4,1,39,0
2100,old,Private,101590,Prof-school,15,Widowed,Adm-clerical,Not-in-family,Black,Female,0,0,20,United-States,<=50K,2,4,14,6,1,1,2,0,39,0
2101,young,Private,258102,5th-6th,3,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,Mexico,<=50K,4,4,4,4,14,1,4,1,26,0
2102,young,Private,241185,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,4,4,11,4,1,1,4,0,39,0
2103,adult,Private,124827,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,0,4,8,2,12,0,4,1,39,1
2104,middle-aged,Self-emp-inc,76625,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K,1,5,11,2,6,0,4,1,39,0
2105,middle-aged,Federal-gov,263339,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K,1,1,11,2,14,0,4,1,39,1
2106,young,Private,135645,Masters,14,Never-married,Sales,Not-in-family,White,Male,0,0,20,United-States,<=50K,4,4,12,4,12,1,4,1,39,0
2107,middle-aged,Private,245626,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,0,0,60,United-States,<=50K,1,4,11,2,3,0,0,1,39,0
2108,young,Private,210781,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,<=50K,4,4,9,4,3,1,4,0,39,0
2109,middle-aged,Private,235786,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K,1,4,7,2,3,0,4,1,39,1
2110,middle-aged,Self-emp-not-inc,160167,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,70,United-States,<=50K,1,6,0,2,3,0,4,1,39,0
2111,old,Federal-gov,30731,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,40,United-States,>50K,2,1,11,2,4,0,4,1,39,1
2112,adult,Private,81528,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,60,United-States,<=50K,0,4,11,4,6,2,4,1,39,0
2113,old,Private,182854,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K,2,4,11,2,3,0,4,1,39,0
2114,adult,Private,194426,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,15024,0,40,United-States,>50K,0,4,9,2,13,0,4,1,39,1
2115,middle-aged,?,70645,Some-college,10,Married-civ-spouse,?,Wife,White,Female,0,0,20,United-States,<=50K,1,0,15,2,0,5,4,0,39,0
2116,old,?,112871,11th,7,Never-married,?,Not-in-family,White,Male,0,0,30,United-States,<=50K,2,0,1,4,0,1,4,1,39,0
2117,old,State-gov,71344,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,2,7,12,2,10,0,4,1,39,0
2118,young,State-gov,341410,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,15,United-States,<=50K,4,7,15,4,1,1,4,0,39,0
2119,adult,Private,118941,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50K,0,4,9,2,4,5,4,0,39,1
2120,old,?,159755,Assoc-voc,11,Married-civ-spouse,?,Husband,White,Male,0,0,50,United-States,>50K,2,0,8,2,0,0,4,1,39,1
2121,young,Self-emp-not-inc,229125,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,4,6,1,2,3,0,4,1,39,0
2122,middle-aged,Local-gov,142756,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K,1,2,9,0,10,1,4,0,39,0
2123,young,Self-emp-inc,243871,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,45,United-States,<=50K,4,5,15,4,1,3,4,0,39,0
2124,teenager,Private,196857,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K,3,4,11,4,8,1,4,0,39,0
2125,old,Self-emp-not-inc,161334,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,0,0,25,Nicaragua,<=50K,2,6,11,6,8,1,4,0,27,0
2126,old,Private,273536,7th-8th,4,Married-civ-spouse,Sales,Husband,Other,Male,0,0,49,Dominican-Republic,<=50K,2,4,5,2,12,0,3,1,6,0
2127,adult,Private,115631,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,4101,0,50,United-States,<=50K,0,4,15,4,1,1,4,0,39,0
2128,young,Private,185957,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K,4,4,11,2,1,5,4,0,39,0
2129,young,Private,334357,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K,4,4,11,4,1,3,2,0,39,0
2130,middle-aged,Private,96102,Masters,14,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K,1,4,12,3,4,1,4,1,39,0
2131,adult,Private,213226,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Iran,>50K,0,4,9,2,10,0,4,1,20,1
2132,teenager,Private,115248,Some-college,10,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,0,0,40,Vietnam,<=50K,3,4,15,4,1,1,1,1,40,0
2133,adult,Private,185061,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,55,United-States,<=50K,0,4,15,2,4,0,1,1,39,0
2134,young,Private,147638,Bachelors,13,Never-married,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,0,0,40,Hong,<=50K,4,4,9,4,1,2,1,0,17,0
2135,teenager,Private,280298,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,24,United-States,<=50K,3,4,11,4,12,3,4,0,39,0
2136,adult,Private,163516,Some-college,10,Widowed,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,0,4,15,6,1,4,4,0,39,0
2137,middle-aged,Private,277434,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K,1,4,11,2,14,0,4,1,39,0
2138,middle-aged,Private,108993,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K,1,4,11,2,3,0,4,1,39,1
2139,adult,Private,288551,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K,0,4,11,2,3,0,2,1,39,0
2140,middle-aged,Private,176069,HS-grad,9,Separated,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,<=50K,1,4,11,5,7,4,4,0,39,0
2141,middle-aged,State-gov,183486,Assoc-voc,11,Divorced,Prof-specialty,Unmarried,White,Female,0,0,56,United-States,>50K,1,7,8,0,10,4,4,0,39,1
2142,middle-aged,Private,163215,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,10520,0,40,United-States,>50K,1,4,9,0,4,1,4,0,39,1
2143,old,Private,94692,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,United-States,>50K,2,4,9,2,12,0,4,1,39,1
2144,young,Private,118462,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,43,United-States,<=50K,4,4,11,4,6,3,4,1,39,0
2145,adult,Private,407068,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,0,0,75,Mexico,<=50K,0,4,4,2,8,0,4,1,26,0
2146,adult,Self-emp-not-inc,243587,Some-college,10,Separated,Other-service,Own-child,White,Female,0,0,40,Cuba,<=50K,0,6,15,5,8,3,4,0,5,0
2147,middle-aged,Private,23074,Some-college,10,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,>50K,1,4,15,6,4,1,4,0,39,1
2148,old,Private,237735,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,3103,0,40,United-States,>50K,2,4,11,2,6,0,4,1,39,1
2149,middle-aged,Private,188291,1st-4th,2,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K,1,4,3,4,12,3,4,1,39,0
2150,adult,Private,284166,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K,0,4,14,4,10,1,4,1,39,0
2151,teenager,?,423460,11th,7,Never-married,?,Own-child,White,Male,0,0,36,United-States,<=50K,3,0,1,4,0,3,4,1,39,0
2152,young,Private,287681,7th-8th,4,Never-married,Other-service,Not-in-family,White,Male,0,0,25,Mexico,<=50K,4,4,5,4,8,1,4,1,26,0
2153,adult,Private,509364,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0,4,11,2,3,0,4,1,39,0
2154,old,?,139391,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,0,24,United-States,<=50K,2,0,15,2,0,0,4,1,39,0
2155,adult,Private,91964,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Male,0,0,40,United-States,<=50K,0,4,15,4,1,4,4,1,39,0
2156,adult,Private,117526,Some-college,10,Never-married,Farming-fishing,Not-in-family,White,Female,0,0,45,United-States,<=50K,0,4,15,4,5,1,4,0,39,0
2157,old,Private,255364,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,2,4,15,2,10,0,4,1,39,0
2158,adult,Private,211494,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K,0,4,11,2,13,0,4,1,39,1
2159,old,Local-gov,136198,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,15,United-States,<=50K,2,2,9,2,4,0,4,1,39,0
2160,young,Federal-gov,409815,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K,4,1,15,4,1,4,2,0,39,0
2161,old,State-gov,146326,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,45,United-States,>50K,2,7,12,2,10,0,4,1,39,1
2162,middle-aged,Private,154374,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,58,United-States,<=50K,1,4,9,2,14,0,4,1,39,0
2163,young,?,216563,HS-grad,9,Never-married,?,Other-relative,White,Female,0,0,40,United-States,<=50K,4,0,11,4,0,2,4,0,39,0
2164,old,Private,197286,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,2,4,6,2,3,0,4,1,39,0
2165,old,Self-emp-not-inc,100722,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,5,United-States,<=50K,2,6,9,2,1,0,4,1,39,0
2166,middle-aged,Local-gov,377622,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K,1,2,11,2,8,0,4,1,39,0
2167,young,Private,145964,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K,4,4,9,4,4,1,4,1,39,0
2168,young,Private,358636,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,2829,0,70,United-States,<=50K,4,4,15,2,3,0,4,1,39,0
2169,middle-aged,Private,155489,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,7688,0,55,United-States,>50K,1,4,11,2,14,0,4,1,39,1
2170,middle-aged,Private,320421,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K,1,4,11,2,12,0,4,1,39,0
2171,old,Self-emp-not-inc,174752,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,<=50K,2,6,11,0,5,1,4,1,39,0
2172,middle-aged,State-gov,229364,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,<=50K,1,7,12,0,10,1,4,0,39,0
2173,old,Self-emp-not-inc,157486,10th,6,Divorced,Sales,Own-child,White,Male,0,0,40,United-States,<=50K,2,6,0,0,12,3,4,1,39,0
2174,adult,Private,92682,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,4865,0,40,United-States,<=50K,0,4,11,4,1,1,4,0,39,0
2175,old,Federal-gov,101338,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K,2,1,9,2,12,0,4,1,39,0
2176,teenager,Private,132652,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,<=50K,3,4,1,4,8,3,4,1,39,0
2177,young,Private,34616,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,25,United-States,<=50K,4,4,15,4,8,3,4,0,39,0
2178,middle-aged,Private,218903,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K,1,4,11,0,13,4,4,0,39,0
2179,young,Local-gov,204098,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Male,0,0,50,United-States,<=50K,4,2,11,2,6,2,4,1,39,0
2180,old,Self-emp-not-inc,64045,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,45,United-States,>50K,2,6,14,2,10,0,4,1,39,1
2181,middle-aged,Private,189763,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0,0,30,United-States,<=50K,1,4,11,0,12,1,4,0,39,0
2182,young,Private,26248,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K,4,4,11,4,1,3,4,0,39,0
2183,old,Private,92079,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States,>50K,2,4,15,2,13,0,4,1,39,1
2184,teenager,Private,280071,Some-college,10,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,50,United-States,<=50K,3,4,15,4,7,2,4,1,39,0
2185,young,Private,224059,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K,4,4,11,4,8,1,4,1,39,0
2186,adult,Private,185520,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,8614,0,40,United-States,>50K,0,4,15,0,4,1,4,0,39,1
2187,young,Private,265567,11th,7,Never-married,Craft-repair,Own-child,White,Male,0,0,35,United-States,<=50K,4,4,1,4,3,3,4,1,39,0
2188,old,Private,106890,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,2,4,8,6,1,1,4,0,39,0
2189,middle-aged,Private,153132,Bachelors,13,Divorced,Sales,Unmarried,White,Male,0,0,45,?,<=50K,1,4,9,0,12,4,4,1,0,0
2190,old,Private,209912,Bachelors,13,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,0,0,50,United-States,<=50K,2,4,9,0,4,1,0,1,39,0
2191,adult,Private,144169,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K,0,4,11,2,12,0,4,1,39,1
2192,adult,Private,89644,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,>50K,0,4,15,2,12,0,4,1,39,1
2193,young,Private,231638,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States,<=50K,4,4,11,4,4,3,4,0,39,0
2194,middle-aged,Local-gov,224474,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,4934,0,50,United-States,>50K,1,2,9,0,10,4,4,0,39,1
2195,young,Private,355259,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,>50K,4,4,12,4,10,1,4,0,39,1
2196,adult,Federal-gov,68330,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K,0,1,9,4,10,1,4,1,39,1
2197,young,Private,286853,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,35,United-States,<=50K,4,4,11,4,8,3,4,1,39,0
2198,old,Private,96710,HS-grad,9,Married-civ-spouse,Priv-house-serv,Other-relative,Black,Female,0,0,20,United-States,<=50K,2,4,11,2,9,2,2,0,39,0
2199,old,Private,160143,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,30,United-States,>50K,2,4,14,2,10,0,4,1,39,1
2200,young,Private,186925,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,2597,0,48,United-States,<=50K,4,4,15,4,8,1,4,1,39,0
2201,middle-aged,Self-emp-inc,109705,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,32,United-States,<=50K,1,5,15,0,4,4,4,0,39,0
2202,adult,Private,94235,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,0,4,11,2,3,0,4,1,39,1
2203,young,Private,225279,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,1602,40,?,<=50K,4,4,15,4,10,1,4,1,0,0
2204,old,Private,205896,HS-grad,9,Divorced,Sales,Other-relative,White,Female,0,0,40,United-States,<=50K,2,4,11,0,12,2,4,0,39,0
2205,adult,Private,93717,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,7298,0,45,United-States,>50K,0,4,15,2,1,5,4,0,39,1
2206,middle-aged,State-gov,189123,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K,1,7,11,2,8,0,4,1,39,0
2207,middle-aged,Private,358677,HS-grad,9,Divorced,Other-service,Unmarried,Black,Male,0,0,35,United-States,<=50K,1,4,11,0,8,4,2,1,39,0
2208,adult,State-gov,199539,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1902,40,United-States,<=50K,0,7,11,2,1,0,4,1,39,0
2209,middle-aged,Private,128170,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,7688,0,40,United-States,>50K,1,4,15,2,12,0,4,1,39,1
2210,old,Private,296152,Some-college,10,Divorced,Exec-managerial,Other-relative,White,Female,594,0,10,United-States,<=50K,2,4,15,0,4,2,4,0,39,0
2211,middle-aged,Private,166003,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,1,4,1,2,7,0,4,1,39,0
2212,adult,Private,281437,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,55,United-States,<=50K,0,4,15,2,14,0,4,1,39,0
2213,young,Private,190231,9th,5,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,11,Nicaragua,<=50K,4,4,6,4,7,3,4,0,27,0
2214,old,?,205527,HS-grad,9,Divorced,?,Not-in-family,White,Male,0,0,20,United-States,<=50K,2,0,11,0,0,1,4,1,39,0
2215,old,Self-emp-not-inc,174102,7th-8th,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,4386,0,50,Greece,>50K,2,6,5,2,4,0,4,1,12,1
2216,middle-aged,Private,125461,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,65,United-States,>50K,1,4,9,2,12,0,4,1,39,1
2217,old,Self-emp-not-inc,184335,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,30,United-States,<=50K,2,6,5,2,5,0,4,1,39,0
2218,young,Private,211345,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40,Mexico,<=50K,4,4,15,4,8,3,4,0,26,0
2219,young,Private,222993,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K,4,4,11,4,6,3,4,1,39,0
2220,middle-aged,Private,225978,Some-college,10,Separated,Exec-managerial,Not-in-family,Black,Male,0,0,40,United-States,<=50K,1,4,15,5,4,1,2,1,39,0
2221,middle-aged,Private,121124,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,1,4,11,2,4,0,4,1,39,1
2222,old,?,656036,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,25,United-States,<=50K,2,0,11,2,0,0,4,1,39,0
